


Falsa posição:
interação|      a       |      b       |      x1      |      ea     |     f(x1)   |
      18 |    06,92806297|    07,00000000|    06,92806297|    00,00000492|    00,00000906|
      19 |    06,92806315|    07,00000000|    06,92806315|    00,00000251|    00,00000462|
      20 |    06,92806324|    07,00000000|    06,92806324|    00,00000128|    00,00000236|
      21 |    06,92806328|    07,00000000|    06,92806328|    00,00000065|    00,00000120|
      22 |    06,92806331|    07,00000000|    06,92806331|    00,00000033|    00,00000061|
      23 |    06,92806332|    07,00000000|    06,92806332|    00,00000017|    00,00000031|
      24 |    06,92806332|    07,00000000|    06,92806332|    00,00000009|    00,00000016|
      25 |    06,92806333|    07,00000000|    06,92806333|    00,00000004|    00,00000008|


Falsa posição:
interação|      a       |      b       |      x1      |      ea     |     f(x1)   |
       0 |    08,50828433|    08,60000000|    08,50828433|    01,07795733|    00,52792806|
       1 |    08,51372559|    08,60000000|    08,51372559|    00,06391171|    00,36181267|
       2 |    08,51730023|    08,60000000|    08,51730023|    00,04196908|    00,24467247|
       3 |    08,51964889|    08,60000000|    08,51964889|    00,02756758|    00,16392084|
       4 |    08,52119217|    08,60000000|    08,52119217|    00,01811117|    00,10912149|
       5 |    08,52220631|    08,60000000|    08,52220631|    00,01189997|    00,07232927|
       6 |    08,52287276|    08,60000000|    08,52287276|    00,00781950|    00,04780409|
       7 |    08,52331073|    08,60000000|    08,52331073|    00,00513848|    00,03153428|
       8 |    08,52359855|    08,60000000|    08,52359855|    00,00337680|    00,02077537|
       9 |    08,52378771|    08,60000000|    08,52378771|    00,00221914|    00,01367571|
      10 |    08,52391202|    08,60000000|    08,52391202|    00,00145838|    00,00899727|
      11 |    08,52399372|    08,60000000|    08,52399372|    00,00095843|    00,00591716|
      12 |    08,52404741|    08,60000000|    08,52404741|    00,00062987|    00,00389056|
      13 |    08,52408269|    08,60000000|    08,52408269|    00,00041395|    00,00255765|
      14 |    08,52410588|    08,60000000|    08,52410588|    00,00027205|    00,00168122|
      15 |    08,52412112|    08,60000000|    08,52412112|    00,00017879|    00,00110505|
      16 |    08,52413114|    08,60000000|    08,52413114|    00,00011750|    00,00072630|
      17 |    08,52413772|    08,60000000|    08,52413772|    00,00007722|    00,00047735|
      18 |    08,52414205|    08,60000000|    08,52414205|    00,00005075|    00,00031373|
      19 |    08,52414489|    08,60000000|    08,52414489|    00,00003335|    00,00020619|
      20 |    08,52414676|    08,60000000|    08,52414676|    00,00002192|    00,00013551|
      21 |    08,52414798|    08,60000000|    08,52414798|    00,00001441|    00,00008906|
      22 |    08,52414879|    08,60000000|    08,52414879|    00,00000947|    00,00005853|
